construction,p,q,condition_sa,condition_sb,truth_gc,truth_cs,status,error,gc,gaussian_te,gaussian_cmi,direct_cs,spectral_gc,spectral_cs,max_rho2,rank,abs_gc_spectral_error,abs_cs_spectral_error,abs_te_cmi_error,abs_gc_truth_error,abs_cs_truth_error,abs_spectral_gc_truth_error,abs_spectral_cs_truth_error
0,5,2,2259738.7559552635,75667.23271921196,10.532499859101165,4.918812887866178,ok,,10.532499480921144,5.266249740460572,5.266249740460572,4.918812969505754,10.532499911927166,4.918812914278566,0.9999652889763884,2,4.310060219836487e-07,5.522718815598182e-08,0.0,3.7818002063261247e-07,8.163957598839033e-08,5.282600135103621e-08,2.6412387832408513e-08
1,4,3,4.952123980802277,5.647998049140978,0.5063237742717777,0.1412849204848011,ok,,0.5063237742717774,0.2531618871358887,0.2531618871358887,0.1412849204848019,0.5063237742717777,0.14128492048480112,0.3319135511600169,3,2.220446049250313e-16,7.771561172376096e-16,0.0,2.220446049250313e-16,8.049116928532385e-16,0.0,2.7755575615628914e-17
2,5,1,4844346.544151961,1.0,0.0965756722425664,0.025004160208464285,ok,,0.09657567224516406,0.04828783612258203,0.04828783612258203,0.02500416020939067,0.09657567224837012,0.025004160210017754,0.0920588109510458,1,3.2060604171491036e-12,6.27085189330856e-13,0.0,2.597658199654518e-12,9.263839695350384e-13,5.8037186168036214e-12,1.5534691588658944e-12
3,1,1,1.0,1.0,0.7575660406520092,0.23629912896704403,ok,,0.7575660406520095,0.37878302032600475,0.37878302032600475,0.2362991289670442,0.7575660406520094,0.2362991289670441,0.531193905528824,1,1.1102230246251565e-16,8.326672684688674e-17,0.0,3.3306690738754696e-16,1.6653345369377348e-16,2.220446049250313e-16,8.326672684688674e-17
4,3,3,59.05762352712128,1.689827893170485,0.9878608025977587,0.27968546949201917,ok,,0.9878608025977585,0.4939304012988793,0.4939304012988793,0.2796854694920192,0.987860802597758,0.27968546949201895,0.3608203007383608,3,5.551115123125783e-16,2.7755575615628914e-16,0.0,1.1102230246251565e-16,5.551115123125783e-17,6.661338147750939e-16,2.220446049250313e-16
5,3,1,38851293.40944564,1.0,0.03469678802288016,0.008786405518578917,ok,,0.03469678802273002,0.01734839401136501,0.01734839401136501,0.008786405518550922,0.03469678802391021,0.008786405518843072,0.034101756223885275,1,1.180194830752157e-12,2.92149984759682e-13,0.0,1.501437862927446e-13,2.7994967455313713e-14,1.0300510444594124e-12,2.641550173043683e-13
6,5,5,7593.485325273701,9841420.93437017,0.6332534374350083,0.1682955755274045,ok,,0.6332534374246341,0.31662671871231707,0.31662671871231707,0.1682955755468596,0.6332534374364441,0.16829557552780094,0.1916775220305542,5,1.1809997424450103e-11,1.905864355222775e-11,0.0,1.0374145986702388e-11,1.9455076438745778e-11,1.435851437747715e-12,3.9643288651802777e-13
7,5,4,260.952835807788,5.993109125806732,0.862336750636059,0.25402860257378623,ok,,0.8623367506360593,0.43116837531802965,0.43116837531802965,0.2540286025737881,0.8623367506360593,0.25402860257378634,0.48753065738979684,4,0.0,1.7763568394002505e-15,0.0,3.3306690738754696e-16,1.887379141862766e-15,3.3306690738754696e-16,1.1102230246251565e-16
8,3,4,10864.394924221715,474770.39219145273,0.9020759210397777,0.266376409188887,ok,,0.9020759210395912,0.4510379605197956,0.4510379605197956,0.2663764091884344,0.9020759210395366,0.2663764091888211,0.47771579261696157,3,5.46229728115577e-14,3.86690679476942e-13,0.0,1.865174681370263e-13,4.5258241598844506e-13,2.41140440948584e-13,6.589173651150304e-14
9,2,2,3.4667040253263406,7045.461412995682,0.03636165275737859,0.00915862200818763,ok,,0.03636165275709935,0.018180826378549675,0.018180826378549675,0.009158622008260675,0.03636165275737324,0.00915862200818627,0.023772099300152956,2,2.738920201750261e-13,7.440575933159721e-14,0.0,2.792419073749386e-13,7.304573612643139e-14,5.349887199912473e-15,1.3600232051658168e-15
10,4,3,18604.139513802023,645.9515008764449,2.182698738180834,0.7582765627721877,ok,,2.182698738180734,1.091349369090367,1.091349369090367,0.7582765627721884,2.1826987381808562,0.7582765627721979,0.8217399441800307,3,1.2212453270876722e-13,9.547918011776346e-15,0.0,9.992007221626409e-14,6.661338147750939e-16,2.220446049250313e-14,1.021405182655144e-14
11,1,4,1.0,9.893690438562311,0.15436620679867888,0.040767568360126065,ok,,0.15436620679867852,0.07718310339933926,0.07718310339933926,0.040767568360126294,0.1543662067986788,0.04076756836012604,0.14304186035470112,1,2.7755575615628914e-16,2.5673907444456745e-16,0.0,3.608224830031759e-16,2.2898349882893854e-16,8.326672684688674e-17,2.7755575615628914e-17
12,4,5,915940.3922539175,6086340.915287475,10.24175188080384,4.787481501855643,ok,,10.24175188189521,5.120875940947605,5.120875940947605,4.787481495550625,10.241751917173508,4.787481520039834,0.9999567744756889,4,3.5278297616514465e-08,2.4489208882982894e-08,0.0,1.0913705494886017e-09,6.305017841157223e-09,3.6369668166003066e-08,1.818419104182567e-08
13,3,4,106193.88914226597,19355.920463281178,2.5346177499570404,0.8240369533859481,ok,,2.534617749970157,1.2673088749850785,1.2673088749850785,0.8240369533915324,2.5346177499684814,0.8240369533907351,0.734358799717403,3,1.6755485887642863e-12,7.972511539833249e-13,0.0,1.311661890213145e-11,5.584310791562075e-12,1.1441070313367163e-11,4.78705963757875e-12
14,3,1,1407009.0325782152,1.0,0.02832278575788526,0.007155545222252818,ok,,0.028322785757884716,0.014161392878942358,0.014161392878942358,0.00715554522225359,0.028322785757885043,0.007155545222252762,0.027925455663253846,1,3.2612801348363973e-16,8.27463098040937e-16,0.0,5.447031714567174e-16,7.719519468096792e-16,2.185751579730777e-16,5.551115123125783e-17
15,3,2,20.454129138166433,109.5419459001581,0.061060483571655354,0.015610463229961352,ok,,0.06106048357165525,0.030530241785827625,0.030530241785827625,0.015610463229962512,0.061060483571655284,0.015610463229961333,0.059181570102476606,2,3.469446951953614e-17,1.1796119636642288e-15,0.0,1.0408340855860843e-16,1.160530005428484e-15,6.938893903907228e-17,1.9081958235744878e-17
16,3,1,180037.16575366203,1.0,0.1319456598178803,0.03458242015038689,ok,,0.13194565981784434,0.06597282990892217,0.06597282990892217,0.03458242015037527,0.1319456598178249,0.034582420150371725,0.12361138309742903,1,1.942890293094024e-14,3.5457747848965937e-15,0.0,3.597122599785507e-14,1.1622647289044608e-14,5.540012892879531e-14,1.51684220739412e-14
17,3,2,4105740.091402004,12575.760992541362,0.0596956185026757,0.01521365259746262,ok,,0.059695618503136316,0.029847809251568158,0.029847809251568158,0.015213652597625416,0.05969561850330042,0.015213652597623235,0.05418734270269873,2,1.6410484082740595e-13,2.1805474093028465e-15,0.0,4.606176551291696e-13,1.6279512460304346e-13,6.247224959565756e-13,1.6061457719374062e-13
18,3,1,322045.2365668928,1.0,0.0030372054407855177,0.0007601657301804173,ok,,0.003037205440785229,0.0015186027203926145,0.0015186027203926145,0.00076016573018034,0.003037205440784591,0.000760165730180185,0.0030325977983058474,1,6.379445582904708e-16,1.5493249044817858e-16,0.0,2.888314587501384e-16,7.730361489821647e-17,9.267760170406092e-16,2.3223610534639505e-16
19,1,2,1.0,2084192.7067166048,0.09086473305670346,0.023478438035948575,ok,,0.0908647330574448,0.0454323665287224,0.0454323665287224,0.023478438038014637,0.09086473305770232,0.02347843803621492,0.08685877963353156,1,2.5751623056180506e-13,1.7997166257277541e-12,0.0,7.413375469056405e-13,2.066062598782281e-12,9.988537774674455e-13,2.66345973054527e-13
20,4,4,5.989516802714017,6810.402482174025,2.1912830590545784,0.7717577947766809,ok,,2.1912830590542915,1.0956415295271458,1.0956415295271458,0.7717577947769421,2.191283059054514,0.7717577947766529,0.8345726042093321,4,2.2248869413488137e-13,2.892130979148533e-13,0.0,2.8688162956314045e-13,2.611244553918368e-13,6.439293542825908e-14,2.808864252301646e-14
21,5,2,26551.234520913407,1900.5247902190995,0.05026672255489405,0.012796268729488587,ok,,0.050266722554864085,0.025133361277432043,0.025133361277432043,0.012796268729349691,0.050266722554898086,0.012796268729489631,0.048475840516848855,2,3.400058012914542e-14,1.3994014280704903e-13,0.0,2.996214387707141e-14,1.38895839274511e-13,4.038436252074007e-15,1.0443035325380379e-15
22,2,1,801.8172196937138,1.0,1.1183329183308341,0.37489024827877004,ok,,1.118332918330832,0.559166459165416,0.559166459165416,0.3748902482787684,1.1183329183308208,0.3748902482787647,0.6731758166681809,1,1.1102230246251565e-14,3.6637359812630166e-15,0.0,2.220446049250313e-15,1.6653345369377348e-15,1.3322676295501878e-14,5.329070518200751e-15
23,3,1,262.5682149280966,1.0,0.17702865432041914,0.04710772920321743,ok,,0.17702865432041914,0.08851432716020957,0.08851432716020957,0.04710772920321693,0.1770286543204192,0.047107729203217444,0.1622442211434579,1,5.551115123125783e-17,5.134781488891349e-16,0.0,0.0,4.996003610813204e-16,5.551115123125783e-17,1.3877787807814457e-17
24,2,5,118.22667765016826,4557.447729611422,12.44783742386781,5.9332437107699665,ok,,12.44783742250857,6.223918711254285,6.223918711254285,5.933243710184793,12.447837423700175,5.93324371068615,0.9999960262734996,2,1.1916050368654396e-09,5.013571779954873e-10,0.0,1.3592398317996413e-09,5.851736872841684e-10,1.6763479493420164e-10,8.381650928868112e-11
25,1,5,1.0,303.65684305270395,0.11747577877017618,0.030637250887484566,ok,,0.11747577877017279,0.058737889385086395,0.058737889385086395,0.03063725088748459,0.11747577877017615,0.03063725088748456,0.11083795191605399,1,3.3584246494910985e-15,3.122502256758253e-17,0.0,3.3861802251067274e-15,2.42861286636753e-17,2.7755575615628914e-17,6.938893903907228e-18
26,5,2,2.0395569357493133,546036.5862544713,0.07116984722244939,0.018195760837280316,ok,,0.07116984722625386,0.03558492361312693,0.03558492361312693,0.01819576083761465,0.0711698472226964,0.01819576083734486,0.06361136778339901,2,3.5574598822307735e-12,2.6979113387781695e-13,0.0,3.804470627422063e-12,3.3433325552501003e-13,2.470107451912895e-13,6.454212164719308e-14
27,2,1,260.43278443411776,1.0,6.606172295195022e-05,1.651583987266149e-05,ok,,6.606172295187118e-05,3.303086147593559e-05,3.303086147593559e-05,1.6515839872166538e-05,6.606172295195009e-05,1.6515839872661456e-05,6.605954092438016e-05,1,7.890281310263259e-17,4.949179629488987e-16,0.0,7.903833837419327e-17,4.949518442667888e-16,1.3552527156068805e-19,3.3881317890172014e-20
28,4,2,12132562.764831081,1026.6425133910545,1.2458549193046018,0.3978942178894129,ok,,1.2458549190268733,0.6229274595134366,0.6229274595134366,0.39789421767196753,1.2458549186415877,0.39789421762880406,0.6428769643918042,2,3.852855812169764e-10,4.316347279598176e-11,0.0,2.777285068589208e-10,2.1744539502321913e-10,6.630140880758972e-10,2.606088678192009e-10
29,3,3,185389.1599554171,3553.9637709736608,0.5069241690027906,0.13829925589630182,ok,,0.5069241690033066,0.2534620845016533,0.2534620845016533,0.13829925589638048,0.506924169003162,0.13829925589641218,0.2886131861442881,3,1.446620601086579e-13,3.169686735304822e-14,0.0,5.160316618457728e-13,7.865930129469234e-14,3.7136960173711486e-13,1.1035616864774056e-13
30,2,1,421.8005731426557,1.0,0.07324886808243916,0.01880905611927409,ok,,0.07324886808243924,0.03662443404121962,0.03662443404121962,0.01880905611927508,0.0732488680824391,0.018809056119274078,0.07063048916503398,1,1.3877787807814457e-16,1.0026701691145945e-15,0.0,8.326672684688674e-17,9.8879238130678e-16,5.551115123125783e-17,1.3877787807814457e-17
31,4,3,2038.3647055111576,9258.555724026884,1.857681440713573,0.6284990250312087,ok,,1.857681440714202,0.928840720357101,0.928840720357101,0.6284990250313554,1.8576814407136086,0.628499025031218,0.7724189014948893,3,5.933031843596837e-13,1.3733458814613186e-13,0.0,6.288303211476887e-13,1.4666046155298318e-13,3.552713678800501e-14,9.325873406851315e-15
32,2,2,3101774.663140943,124.57536495798952,0.15153183158924668,0.039054902973534325,ok,,0.1515318315803631,0.07576591579018155,0.07576591579018155,0.039054902970302674,0.15153183157848357,0.039054902970646094,0.09550629719797689,2,1.879524313963543e-12,3.4341973709217655e-13,0.0,8.883588309416268e-12,3.2316510578667135e-12,1.0763112623379811e-11,2.888231320774537e-12
33,4,4,309.7570908301052,15292.744405702246,3.7248300780137864,1.379450031193541,ok,,3.7248300780137145,1.8624150390068572,1.8624150390068572,1.3794500311935023,3.724830078013865,1.3794500311935773,0.8849365908292608,4,1.5054624213917123e-13,7.505107646466058e-14,0.0,7.194245199571014e-14,3.863576125695545e-14,7.860379014346108e-14,3.6415315207705135e-14
34,3,4,8346.498984081654,466739.696176914,0.4675577278737415,0.13136915908654848,ok,,0.46755772787286,0.23377886393643,0.23377886393643,0.1313691590856676,0.4675577278740811,0.13136915908665506,0.3327385252689466,3,1.2211343047852097e-12,9.874601136772299e-13,0.0,8.815170815523743e-13,8.808787033132148e-13,3.396172232328354e-13,1.0658141036401503e-13
35,1,3,1.0,399667.1428505183,0.11848460370344008,0.030911109862517543,ok,,0.11848460370426661,0.059242301852133306,0.059242301852133306,0.03091110986237,0.1184846037034338,0.030911109862515836,0.11173450844953746,1,8.328060463469455e-13,1.4583473317841822e-13,0.0,8.265332862578134e-13,1.475417010787794e-13,6.2727600891321345e-15,1.7069679003611782e-15
36,2,3,22075732.852915477,179070.38875895197,12.199852175325722,5.8122375362517,ok,,12.19985139698067,6.099925698490335,6.099925698490335,5.812237032560569,12.199846167332861,5.812234532265346,0.9999949686063399,2,5.229647808135951e-06,2.5002952233066367e-06,0.0,7.783450524101454e-07,5.0369113058224e-07,6.007992860546096e-06,3.0039863538888767e-06
37,3,3,171744.799208872,1.9749609816264073,0.438696705831961,0.11690852765776953,ok,,0.43869670583154136,0.21934835291577068,0.21934835291577068,0.11690852765769844,0.4386967058314876,0.11690852765764162,0.20430811119565512,3,5.3734794391857577e-14,5.6815663285192386e-14,0.0,4.1966430330830917e-13,7.109590693943346e-14,4.733990977001667e-13,1.2791157022462585e-13
38,1,1,1.0,1.0,0.026381925025944344,0.006660444449472109,ok,,0.026381925025944497,0.013190962512972249,0.013190962512972249,0.006660444449471337,0.026381925025944344,0.006660444449472109,0.02603696229313934,1,1.5265566588595902e-16,7.719519468096792e-16,0.0,1.5265566588595902e-16,7.719519468096792e-16,0.0,0.0
39,4,2,1676405.2181868593,2.408239895300318,0.07212306315558314,0.018480602206646792,ok,,0.07212306315530567,0.036061531577652836,0.036061531577652836,0.018480602206596863,0.07212306315565324,0.018480602206665118,0.06726253367583779,2,3.4756919564671307e-13,6.825442988578345e-14,0.0,2.7747248942944225e-13,4.992881108556446e-14,7.009670621727082e-14,1.832561880021899e-14
