construction,designed_te,seed,orientation,eta,bandwidth,sample_gc,sample_gaussian_te,sample_canonical_cs,kde_cs
0,0.7881150980505566,774772392,official-featurewise,0.02,0.5485772537687086,1.6283188120128285,0.8141594060064142,0.5898461851502563,0.061946806217665795
0,0.7881150980505566,774772392,official-featurewise,0.05,1.3714431344217717,1.6283188120128285,0.8141594060064142,0.5898461851502563,0.011407850414144605
0,0.7881150980505566,774772392,official-featurewise,0.2,5.485772537687087,1.6283188120128285,0.8141594060064142,0.5898461851502563,1.9094880460812647e-05
0,0.7881150980505566,774772392,samplewise,0.02,0.056482902087854336,1.6283188120128285,0.8141594060064142,0.5898461851502563,0.2048109066552266
0,0.7881150980505566,774772392,samplewise,0.05,0.14120725521963584,1.6283188120128285,0.8141594060064142,0.5898461851502563,0.2247597882212471
0,0.7881150980505566,774772392,samplewise,0.2,0.5648290208785434,1.6283188120128285,0.8141594060064142,0.5898461851502563,0.05956789530918272
1,0.5735316467217287,1437555052,official-featurewise,0.02,0.41176905832945454,1.0337545761678797,0.5168772880839398,0.3412341004362306,0.11711415641856426
1,0.5735316467217287,1437555052,official-featurewise,0.05,1.0294226458236364,1.0337545761678797,0.5168772880839398,0.3412341004362306,0.01873490216373952
1,0.5735316467217287,1437555052,official-featurewise,0.2,4.117690583294546,1.0337545761678797,0.5168772880839398,0.3412341004362306,2.3727654919980523e-05
1,0.5735316467217287,1437555052,samplewise,0.02,0.042071386557404104,1.0337545761678797,0.5168772880839398,0.3412341004362306,0.19595930446019771
1,0.5735316467217287,1437555052,samplewise,0.05,0.10517846639351025,1.0337545761678797,0.5168772880839398,0.3412341004362306,0.19349356996585776
1,0.5735316467217287,1437555052,samplewise,0.2,0.420713865574041,1.0337545761678797,0.5168772880839398,0.3412341004362306,0.1140245190799618
2,1.065406785690821,973523261,official-featurewise,0.02,0.6675457079929583,1.8628995635620111,0.9314497817810056,0.6942142474474975,0.05242538098884886
2,1.065406785690821,973523261,official-featurewise,0.05,1.668864269982396,1.8628995635620111,0.9314497817810056,0.6942142474474975,0.008390706648526702
2,1.065406785690821,973523261,official-featurewise,0.2,6.675457079929584,1.8628995635620111,0.9314497817810056,0.6942142474474975,8.122307708191556e-06
2,1.065406785690821,973523261,samplewise,0.02,0.07135225030550273,1.8628995635620111,0.9314497817810056,0.6942142474474975,0.16183987110489628
2,1.065406785690821,973523261,samplewise,0.05,0.1783806257637568,1.8628995635620111,0.9314497817810056,0.6942142474474975,0.1943742211320565
2,1.065406785690821,973523261,samplewise,0.2,0.7135225030550272,1.8628995635620111,0.9314497817810056,0.6942142474474975,0.04766545903528652
3,0.17918363952139546,657537407,official-featurewise,0.02,0.35777832406976723,0.3158314594523649,0.15791572972618245,0.0878103655241589,0.06793847759608518
3,0.17918363952139546,657537407,official-featurewise,0.05,0.894445810174418,0.3158314594523649,0.15791572972618245,0.0878103655241589,0.015017758337176446
3,0.17918363952139546,657537407,official-featurewise,0.2,3.577783240697672,0.3158314594523649,0.15791572972618245,0.0878103655241589,1.4124710357776848e-05
3,0.17918363952139546,657537407,samplewise,0.02,0.03440065161274431,0.3158314594523649,0.15791572972618245,0.0878103655241589,0.16576931444388965
3,0.17918363952139546,657537407,samplewise,0.05,0.08600162903186077,0.3158314594523649,0.15791572972618245,0.0878103655241589,0.22059676673426054
3,0.17918363952139546,657537407,samplewise,0.2,0.3440065161274431,0.3158314594523649,0.15791572972618245,0.0878103655241589,0.0709486943466704
4,0.14119287241348633,2068526061,official-featurewise,0.02,0.34685321167291144,0.38318655687064085,0.19159327843532042,0.1086696391418141,0.07221346186126354
4,0.14119287241348633,2068526061,official-featurewise,0.05,0.8671330291822786,0.38318655687064085,0.19159327843532042,0.1086696391418141,0.018314069661307997
4,0.14119287241348633,2068526061,official-featurewise,0.2,3.4685321167291145,0.38318655687064085,0.19159327843532042,0.1086696391418141,2.2922657695545468e-05
4,0.14119287241348633,2068526061,samplewise,0.02,0.03467680609613146,0.38318655687064085,0.19159327843532042,0.1086696391418141,0.1903375180139859
4,0.14119287241348633,2068526061,samplewise,0.05,0.08669201524032866,0.38318655687064085,0.19159327843532042,0.1086696391418141,0.18806966203795383
4,0.14119287241348633,2068526061,samplewise,0.2,0.34676806096131463,0.38318655687064085,0.19159327843532042,0.1086696391418141,0.07223097073802087
5,0.09345675740728622,598494934,official-featurewise,0.02,0.36090883624535125,0.19236440332279314,0.09618220166139657,0.051447923169284544,0.036767989538242674
5,0.09345675740728622,598494934,official-featurewise,0.05,0.9022720906133781,0.19236440332279314,0.09618220166139657,0.051447923169284544,0.005170402256407414
5,0.09345675740728622,598494934,official-featurewise,0.2,3.6090883624535124,0.19236440332279314,0.09618220166139657,0.051447923169284544,8.228360066198093e-06
5,0.09345675740728622,598494934,samplewise,0.02,0.033415576014145784,0.19236440332279314,0.09618220166139657,0.051447923169284544,0.1823159245213395
5,0.09345675740728622,598494934,samplewise,0.05,0.08353894003536447,0.19236440332279314,0.09618220166139657,0.051447923169284544,0.2788965979244775
5,0.09345675740728622,598494934,samplewise,0.2,0.33415576014145787,0.19236440332279314,0.09618220166139657,0.051447923169284544,0.04491617089462885
6,1.0644662656087926,641368109,official-featurewise,0.02,0.6873680296130165,1.8664307100815876,0.9332153550407938,0.695806396413502,0.049447059377017766
