construction,p,q,spectral_radius,condition_state_cov,status,error,gc,gaussian_te,gaussian_cmi,direct_cs,spectral_gc,spectral_cs,max_rho2,rank,abs_gc_spectral_error,abs_cs_spectral_error,abs_te_cmi_error
0,1,5,0.8433657983994858,25.47289524199477,ok,,1.3973685242446172,0.6986842621223086,0.6986842621223086,0.49019737904760063,1.3973685242446165,0.49019737904760075,0.7527532675763788,1,6.661338147750939e-16,1.1102230246251565e-16,0.0
1,1,4,0.19046041985887396,6.732571533462387,ok,,0.008417180353366804,0.004208590176683402,0.004208590176683402,0.0021109278522692954,0.008417180353366863,0.002110927852268924,0.00838185507338255,1,5.898059818321144e-17,3.712308238590367e-16,0.0
2,3,5,0.7941883550158461,11.99541272368014,ok,,1.546730411756662,0.773365205878331,0.773365205878331,0.46793188990835777,1.5467304117566618,0.46793188990835594,0.5445557017262566,3,2.220446049250313e-16,1.8318679906315083e-15,0.0
3,4,3,0.6333899091267391,11.676652729949497,ok,,0.48700834960519157,0.24350417480259579,0.24350417480259579,0.13234971096903347,0.48700834960519124,0.13234971096903153,0.22904695919206,3,3.3306690738754696e-16,1.942890293094024e-15,0.0
4,3,1,0.5024617047494905,15.255853376056574,ok,,0.4367085725082598,0.2183542862541299,0.2183542862541299,0.1257344053348839,0.4367085725082596,0.12573440533488373,0.3538402873215473,1,1.6653345369377348e-16,1.6653345369377348e-16,0.0
5,3,4,0.647055971781108,12.489205751219652,ok,,1.2370216049603948,0.6185108024801974,0.6185108024801974,0.3813167662751402,1.2370216049603957,0.3813167662751399,0.6004706375046911,3,8.881784197001252e-16,3.3306690738754696e-16,0.0
6,3,1,0.18517412806788924,6.331075298393211,ok,,0.008107877301473332,0.004053938650736666,0.004053938650736666,0.0020331239001367685,0.008107877301473368,0.0020331239001357593,0.008075097116703272,1,3.642919299551295e-17,1.0091753821495075e-15,0.0
7,3,5,0.5063793836391735,8.840925101853458,ok,,0.6116249357969963,0.30581246789849814,0.30581246789849814,0.16856138186855585,0.6116249357969961,0.16856138186855515,0.3007967253583483,3,2.220446049250313e-16,6.938893903907228e-16,0.0
8,1,3,0.8456759930757487,29.942370387158615,ok,,0.7302311683638522,0.3651155841819261,0.3651155841819261,0.2263699354505615,0.7302311683638517,0.22636993545056128,0.5182023991472322,1,4.440892098500626e-16,2.220446049250313e-16,0.0
9,3,3,0.7624581593747606,6.514558938937102,ok,,0.5121810912680165,0.25609054563400824,0.25609054563400824,0.14409518027645962,0.5121810912680169,0.14409518027645968,0.3442612792193046,3,4.440892098500626e-16,5.551115123125783e-17,0.0
10,4,2,0.7519142155746553,13.450007673557622,ok,,0.6820101179582918,0.3410050589791459,0.3410050589791459,0.20250478114690207,0.6820101179582927,0.20250478114690187,0.45822462488784976,2,8.881784197001252e-16,1.942890293094024e-16,0.0
11,2,5,0.5588693066841812,10.856185655226087,ok,,0.20458251590021098,0.10229125795010549,0.10229125795010549,0.05393658923154199,0.20458251590021057,0.05393658923154235,0.1579763973102037,2,4.163336342344337e-16,3.608224830031759e-16,0.0
12,4,3,0.3470724199957037,13.650137452137049,ok,,0.11360217886420676,0.05680108943210338,0.05680108943210338,0.02933670191466131,0.11360217886420668,0.02933670191466198,0.09508489958006068,3,8.326672684688674e-17,6.696032617270475e-16,0.0
13,2,4,0.2372276393995131,13.701488019380516,ok,,0.07663284924599145,0.038316424622995726,0.038316424622995726,0.019629384850148313,0.07663284924599176,0.01962938485014836,0.06863268247955154,2,3.0531133177191805e-16,4.85722573273506e-17,0.0
14,5,1,0.08577596531192276,10.359049306732585,ok,,0.0009079845413401677,0.00045399227067008385,0.00045399227067008385,0.0002270734145062292,0.0009079845413401276,0.0002270734145060687,0.0009075724481106687,1,4.0115480381963664e-17,1.604890265821668e-16,0.0
15,5,3,0.7660941139837166,9.266854277908775,ok,,1.5615558622593768,0.7807779311296884,0.7807779311296884,0.4748547380636321,1.5615558622593764,0.47485473806363226,0.5356579752266318,3,4.440892098500626e-16,1.6653345369377348e-16,0.0
16,3,2,0.8271138849879841,17.489131003300756,ok,,0.38057042377058736,0.19028521188529368,0.19028521188529368,0.1077324074810142,0.3805704237705877,0.10773240748101501,0.3153120753045173,2,3.3306690738754696e-16,8.049116928532385e-16,0.0
17,4,3,0.1612409241939909,10.409359213431623,ok,,0.05353841231206552,0.02676920615603276,0.02676920615603276,0.013537553678546033,0.05353841231206559,0.013537553678546015,0.03843690471786413,3,6.938893903907228e-17,1.734723475976807e-17,0.0
18,4,1,0.10459352700289747,19.031042858638894,ok,,0.0012533215445999502,0.0006266607722999751,0.0006266607722999751,0.00031347761928168794,0.0012533215445999378,0.00031347761928240286,0.0012525364651727652,1,1.235990476633475e-17,7.149229125369416e-16,0.0
19,1,2,0.25776365922803335,16.279713927007744,ok,,0.00458025383427757,0.002290126917138785,0.002290126917138785,0.001147028712254805,0.0045802538342775275,0.0011470287122545577,0.004569780468011064,1,4.2500725161431774e-17,2.474149357611921e-16,0.0
20,2,3,0.17938692693738914,20.42614131214545,ok,,0.052093564882175536,0.026046782441087768,0.026046782441087768,0.013252737318064423,0.05209356488217541,0.013252737318065165,0.048393899952327096,2,1.249000902703301e-16,7.424616477180734e-16,0.0
21,5,4,0.17637601951181542,15.83268226478498,ok,,0.04036020010966235,0.020180100054831174,0.020180100054831174,0.010182966562488183,0.04036020010966244,0.010182966562487938,0.03021248653062111,4,9.020562075079397e-17,2.445960101127298e-16,0.0
22,1,1,0.7504350590141472,5.625652941420511,ok,,0.1932807028505184,0.0966403514252592,0.0966403514252592,0.05170850954492079,0.19328070285051832,0.05170850954492049,0.17574942782211914,1,8.326672684688674e-17,2.983724378680108e-16,0.0
23,5,3,0.12579257570154112,14.291172810760374,ok,,0.022152419476652196,0.011076209738326098,0.011076209738326098,0.005558175000196286,0.022152419476652373,0.005558175000195356,0.010476061608423187,3,1.7694179454963432e-16,9.298117831235686e-16,0.0
24,4,2,0.5453738518262773,10.486418447341377,ok,,0.9657971761709229,0.48289858808546143,0.48289858808546143,0.29342089202742905,0.9657971761709229,0.2934208920274289,0.5378440016363651,2,0.0,1.6653345369377348e-16,0.0
25,1,5,0.7737686512552306,12.971208150994848,ok,,0.22513537483912804,0.11256768741956402,0.11256768741956402,0.06085539133446449,0.22513537483912763,0.06085539133446462,0.2015918729286658,1,4.163336342344337e-16,1.249000902703301e-16,0.0
26,3,4,0.5256160618216801,9.447030716797354,ok,,1.9509006173429282,0.9754503086714641,0.9754503086714641,0.6347457592454058,1.9509006173429282,0.6347457592454059,0.6590771742305541,3,0.0,1.1102230246251565e-16,0.0
27,1,4,0.139549616169377,7.417515309638928,ok,,0.009690431033061664,0.004845215516530832,0.004845215516530832,0.0024313970739089363,0.009690431033061594,0.0024313970739093813,0.009643630101989235,1,6.938893903907228e-17,4.44956571588051e-16,0.0
28,1,1,0.6913789275714283,8.600976977963409,ok,,0.0007741584741094432,0.0003870792370547216,0.0003870792370547216,0.00019359579765332313,0.0007741584741095385,0.00019359579765341719,0.0007738588907513396,1,9.530137096147584e-17,9.405453846311751e-17,0.0
29,3,2,0.4943367717174992,10.784517570876616,ok,,0.6116333001552824,0.3058166500776412,0.3058166500776412,0.18379992524047228,0.6116333001552818,0.18379992524047192,0.45444682550209536,2,5.551115123125783e-16,3.608224830031759e-16,0.0
30,1,2,0.7357738456123248,6.316421965350246,ok,,0.1654696182997225,0.08273480914986125,0.08273480914986125,0.043862894064032876,0.16546961829972198,0.04386289406403319,0.1525043888285673,1,5.273559366969494e-16,3.122502256758253e-16,0.0
31,1,3,0.4075914187526341,10.09486344412112,ok,,0.023395207075556534,0.011697603537778267,0.011697603537778267,0.0058999141277280565,0.023395207075556736,0.005899914127727829,0.02312366096639367,1,2.0122792321330962e-16,2.2724877535296173e-16,0.0
32,2,2,0.2988890885657724,6.975094949666152,ok,,0.08947907218464557,0.044739536092322785,0.044739536092322785,0.02287280714208828,0.0894790721846456,0.022872807142088367,0.06893597807592733,2,2.7755575615628914e-17,8.673617379884035e-17,0.0
33,2,5,0.05163368353769026,21.500146035023146,ok,,0.004614425042232195,0.0023072125211160976,0.0023072125211160976,0.0011549985448526812,0.004614425042232456,0.0011549985448533928,0.003751627464110824,2,2.6107588313450947e-16,7.116703060194851e-16,0.0
34,3,5,0.44253908265975517,12.857801474442775,ok,,0.5071565165759163,0.25357825828795816,0.25357825828795816,0.1385472069935405,0.5071565165759158,0.1385472069935412,0.29186111204322784,3,5.551115123125783e-16,6.938893903907228e-16,0.0
35,2,3,0.1858958599715927,6.374543230540686,ok,,0.03557153889434517,0.017785769447172584,0.017785769447172584,0.008980364711948408,0.035571538894344765,0.008980364711948765,0.02968629701738405,2,4.0245584642661925e-16,3.5735303605122226e-16,0.0
36,3,5,0.07169771630884818,19.95203384917786,ok,,0.0031312103452205697,0.0015656051726102849,0.0015656051726102849,0.0007832479241658419,0.0031312103452206526,0.0007832479241664922,0.0019989500224470705,3,8.283304597789254e-17,6.503044630568056e-16,0.0
37,3,3,0.3949090493883645,13.418933744045997,ok,,0.13198387807933076,0.06599193903966538,0.06599193903966538,0.03410683538445625,0.13198387807933068,0.03410683538445615,0.10157409563507952,3,8.326672684688674e-17,9.71445146547012e-17,0.0
38,3,1,0.6372035466602506,11.093907367652587,ok,,0.10835566940350272,0.05417783470175136,0.05417783470175136,0.028169633201253763,0.10835566940350265,0.0281696332012539,0.10269160547281485,1,6.938893903907228e-17,1.3530843112619095e-16,0.0
39,5,4,0.3630498722818086,12.598292416175832,ok,,0.29747216947010663,0.14873608473505331,0.14873608473505331,0.07921725873097252,0.297472169470106,0.07921725873097195,0.20079389185778165,4,6.106226635438361e-16,5.689893001203927e-16,0.0
