edge_id,source,target,gc,gaussian_te_cmi,canonical_cs,component_te_1,component_te_2,spectrum_spread_h,rank_one_gap_q,normalized_gap_qn,abs_gc_spectrum_error
000001.SS+399001.SZ->IMOEX.ME+^AXJO,000001.SS;399001.SZ,IMOEX.ME;^AXJO,0.012742778041122449,0.0063713890205612245,0.0031987288215366903,0.005880945093037768,0.0004904439275244081,0.28420272129184077,2.1563070955249106e-06,0.2842026377341151,1.9029916531465574e-15
000001.SS+399001.SZ->IMOEX.ME+^DJI,000001.SS;399001.SZ,IMOEX.ME;^DJI,0.016911785932339995,0.008455892966169998,0.004248826793815516,0.0073953671417588945,0.0010605258244105883,0.43875494559158673,5.857331139405564e-06,0.43875476916404227,1.0304257447302234e-15
000001.SS+399001.SZ->IMOEX.ME+^GSPC,000001.SS;399001.SZ,IMOEX.ME;^GSPC,0.02029580207536341,0.010147901037681706,0.005100786208677507,0.008256871890485969,0.0018910291471961012,0.6064867453291409,1.165097989613579e-05,0.6064865010218066,7.28583859910259e-16
000001.SS+399001.SZ->IMOEX.ME+^HSI,000001.SS;399001.SZ,IMOEX.ME;^HSI,0.05748030209656463,0.028740151048282314,0.014661947276747864,0.02802080014960792,0.0007193508986744699,0.09761200238628684,1.4899394401414814e-05,0.09761134270823812,1.457167719820518e-16
000001.SS+399001.SZ->IMOEX.ME+^IXIC,000001.SS;399001.SZ,IMOEX.ME;^IXIC,0.023693879209275792,0.011846939604637896,0.005956714864657157,0.008983557714224048,0.0028633818904150333,0.7331203563465258,1.9178039187409297e-05,0.7331200855695,2.3696322681843185e-15
000001.SS+399001.SZ->IMOEX.ME+^KS11,000001.SS;399001.SZ,IMOEX.ME;^KS11,0.02441851896705316,0.01220925948352658,0.006157255834706154,0.011864873624453005,0.00034438585907395613,0.10964523704234165,3.045826530232408e-06,0.10964509379141064,7.632783294297951e-16
000001.SS+399001.SZ->IMOEX.ME+^N100,000001.SS;399001.SZ,IMOEX.ME;^N100,0.014093077767725504,0.007046538883862752,0.0035403767718251338,0.006755571622955298,0.00029096726090717097,0.1583487043704811,1.4690376156254945e-06,0.1583486376352939,5.655198531684391e-16
000001.SS+399001.SZ->IMOEX.ME+^N225,000001.SS;399001.SZ,IMOEX.ME;^N225,0.020784486185387863,0.010392243092693931,0.0052329058503775006,0.009908702433979807,0.00048354065871363455,0.17745620160324518,3.5747425749721104e-06,0.17745604507525026,9.783840404509192e-16
000001.SS+399001.SZ->IMOEX.ME+^NZ50,000001.SS;399001.SZ,IMOEX.ME;^NZ50,0.023041184916827717,0.011520592458413859,0.00579330377909911,0.009070283205467327,0.0024503092529453534,0.6698107469119454,1.657256769856466e-05,0.6698104570129042,2.355754480376504e-15
000001.SS+399001.SZ->IMOEX.ME+^STI,000001.SS;399001.SZ,IMOEX.ME;^STI,0.017907072807357594,0.008953536403678797,0.004506098786827054,0.008856482681404276,9.705372227389791e-05,0.04288883583565283,6.41775749301611e-07,0.042888802935108314,1.2455314557513475e-15
000001.SS+399001.SZ->IMOEX.ME+^STOXX50E,000001.SS;399001.SZ,IMOEX.ME;^STOXX50E,0.014161153551366823,0.0070805767756834115,0.003557800742487607,0.006837178017497168,0.00024339875818759648,0.13277550582247127,1.2436967338582718e-06,0.13277544760241508,2.706168622523819e-15
000001.SS+399001.SZ->^AXJO+^DJI,000001.SS;399001.SZ,^AXJO;^DJI,0.004752104056255035,0.0023760520281275177,0.001189803788032447,0.0021681587385352172,0.0002078932895932033,0.31935935738038485,3.3765746439737114e-07,0.31935934474728045,1.805847138491856e-15
000001.SS+399001.SZ->^AXJO+^GSPC,000001.SS;399001.SZ,^AXJO;^GSPC,0.010944508090247496,0.005472254045123748,0.002745632698109344,0.005018436440156897,0.00045381760496891835,0.3042126413820606,1.7034135036658044e-06,0.3042125769914767,4.135580766728708e-15
000001.SS+399001.SZ->^AXJO+^HSI,000001.SS;399001.SZ,^AXJO;^HSI,0.06603002100104405,0.033015010500522024,0.016907443847725134,0.03283778345744147,0.00017722704307935135,0.0213570339549428,4.2923922185904295e-06,0.02135683197492119,2.400857290751901e-15
