edge_id,source,target,gc,gaussian_te_cmi,canonical_cs,component_te_1,component_te_2,spectrum_spread_h,rank_one_gap_q,normalized_gap_qn,abs_gc_spectrum_error
000001.SS+399001.SZ->IMOEX.ME+^AXJO,000001.SS;399001.SZ,IMOEX.ME;^AXJO,0.015539500887545188,0.007769750443772594,0.003903044969321246,0.006916271735870511,0.0008534787079025627,0.39112051003181675,4.409948209643973e-06,0.3911203655150076,9.593020822151743e-16
000001.SS+399001.SZ->IMOEX.ME+^DJI,000001.SS;399001.SZ,IMOEX.ME;^DJI,0.0031602785252360377,0.0015801392626180188,0.0007909976563305957,0.001573527440670596,6.6118219485576775e-06,0.01666728007707198,7.796745932577877e-09,0.01666727952093273,2.269885668315652e-15
000001.SS+399001.SZ->IMOEX.ME+^GSPC,000001.SS;399001.SZ,IMOEX.ME;^GSPC,0.0034059716468206602,0.0017029858234103301,0.0008524823258055379,0.0016227847501043974,8.020107330629998e-05,0.17950602260362605,9.752867023704592e-08,0.17950601806613728,7.346553920761778e-16
000001.SS+399001.SZ->IMOEX.ME+^HSI,000001.SS;399001.SZ,IMOEX.ME;^HSI,0.01070484384236181,0.005352421921180905,0.0026855639329908705,0.004984714508380508,0.0003677074128012267,0.25591867871355256,1.3710052673577416e-06,0.25591862325440223,1.6583956430338276e-15
000001.SS+399001.SZ->IMOEX.ME+^IXIC,000001.SS;399001.SZ,IMOEX.ME;^IXIC,0.0036092457979961523,0.0018046228989980762,0.00090338227045663,0.001686144814341731,0.00011847808465832634,0.24536915059375805,1.4969317489504832e-07,0.2453691443045733,3.9625421000000216e-15
000001.SS+399001.SZ->IMOEX.ME+^KS11,000001.SS;399001.SZ,IMOEX.ME;^KS11,0.009756577333028815,0.004878288666514408,0.00244773149981391,0.004788280049729709,9.00086167845933e-05,0.07244169955409553,3.2245079179807e-07,0.07244168325627448,2.1163626406917047e-16
000001.SS+399001.SZ->IMOEX.ME+^N100,000001.SS;399001.SZ,IMOEX.ME;^N100,0.0038255113967551324,0.0019127556983775662,0.0009571221902416444,0.0012359534892016997,0.0006768022091766313,0.9145445750938032,6.267718656079863e-07,0.9145445722844788,1.5295924249425497e-15
000001.SS+399001.SZ->IMOEX.ME+^N225,000001.SS;399001.SZ,IMOEX.ME;^N225,0.017300700636280197,0.008650350318140099,0.004351529132422521,0.008390892620322166,0.0002594576978185532,0.11637704446977232,1.6257392463402479e-06,0.1163769674336446,1.2420620087993939e-15
000001.SS+399001.SZ->IMOEX.ME+^NZ50,000001.SS;399001.SZ,IMOEX.ME;^NZ50,0.004087374521862586,0.002043687260931293,0.0010229097649374001,0.0016367341739405641,0.0004069530869904448,0.6379014850534537,4.990448915693536e-07,0.6379014750865087,5.681219383824043e-16
000001.SS+399001.SZ->IMOEX.ME+^STI,000001.SS;399001.SZ,IMOEX.ME;^STI,0.0062346025619497425,0.0031173012809748712,0.001561605319541047,0.0027890177348751113,0.0003282835461003896,0.3768797708734999,6.856206359411293e-07,0.37687974737644336,1.259409243559162e-15
000001.SS+399001.SZ->IMOEX.ME+^STOXX50E,000001.SS;399001.SZ,IMOEX.ME;^STOXX50E,0.002395378538068371,0.0011976892690341856,0.0005993784991076591,0.0011933930929703112,4.2961760633474476e-06,0.014296748108430388,3.842966962448041e-09,0.014296747927203285,1.0538445116559103e-15
000001.SS+399001.SZ->^AXJO+^DJI,000001.SS;399001.SZ,^AXJO;^DJI,0.029918946439607907,0.014959473219803954,0.007558435561847168,0.014515081668510309,0.00044439155129252566,0.11529558238765082,4.8015137345484155e-06,0.11529536063391324,2.237793284010081e-15
000001.SS+399001.SZ->^AXJO+^GSPC,000001.SS;399001.SZ,^AXJO;^GSPC,0.03251989909775688,0.01625994954887844,0.008227771437758224,0.01619273375365013,6.721579522865673e-05,0.01646694822867511,8.096518402129355e-07,0.01646690689394391,6.938893903907228e-16
000001.SS+399001.SZ->^AXJO+^HSI,000001.SS;399001.SZ,^AXJO;^HSI,0.012127568363613506,0.006063784181806753,0.003045652087740383,0.00606363717940198,1.470024060933378e-07,9.696838670572321e-05,6.664981171133899e-10,9.69683643725322e-05,2.6402491304367004e-15
000001.SS+399001.SZ->^AXJO+^IXIC,000001.SS;399001.SZ,^AXJO;^IXIC,0.03445788096679436,0.01722894048339718,0.0087215324375692,0.016942296058070908,0.00028664442532668844,0.06544230933852792,3.610848897396199e-06,0.06544213490985124,8.326672684688674e-16
000001.SS+399001.SZ->^AXJO+^KS11,000001.SS;399001.SZ,^AXJO;^KS11,0.0112602475092487,0.00563012375462435,0.0028237942935827385,0.0047480941259327395,0.0008820296286930887,0.5284776229231557,3.132120102300375e-06,0.5284775427297161,2.9559688030644793e-15
000001.SS+399001.SZ->^AXJO+^N100,000001.SS;399001.SZ,^AXJO;^N100,0.03992194554776063,0.019960972773880314,0.010127149454337812,0.019841809556481516,0.00011916321739853541,0.02373668597386478,1.7555560992543046e-06,0.023736598446118203,5.273559366969494e-16
000001.SS+399001.SZ->^AXJO+^N225,000001.SS;399001.SZ,^AXJO;^N225,0.016335392832939277,0.008167696416469639,0.0040998546523955,0.006253194460990352,0.0019145019554812092,0.7178249771243057,8.942102048881129e-06,0.7178248415378629,3.8441472227646045e-15
000001.SS+399001.SZ->^AXJO+^NZ50,000001.SS;399001.SZ,^AXJO;^NZ50,0.008599810756663828,0.004299905378331914,0.002156826232312659,0.004284324109923916,1.5581268405981288e-05,0.014441999328009119,4.9958686354056175e-08,0.014441996641618037,4.0332320816460765e-15
000001.SS+399001.SZ->^AXJO+^STI,000001.SS;399001.SZ,^AXJO;^STI,0.010788474899349865,0.005394237449674932,0.0027069357696115266,0.005113157106754942,0.00028108034291891143,0.1975693101707903,1.0749962086444367e-06,0.19756926328459753,2.157996004115148e-15
000001.SS+399001.SZ->^AXJO+^STOXX50E,000001.SS;399001.SZ,^AXJO;^STOXX50E,0.04358338525162253,0.021791692625811265,0.011070726133752342,0.021673360599250402,0.00011833202656163918,0.02160262970875964,1.9024596532545013e-06,0.021602535425461457,1.5543122344752192e-15
000001.SS+399001.SZ->^DJI+^GSPC,000001.SS;399001.SZ,^DJI;^GSPC,0.007309376937485013,0.0036546884687425063,0.0018319305487286665,0.003495583256271196,0.00015910521247095358,0.16655716642365057,4.1636145755186843e-07,0.16655714741592878,7.129713486264677e-16
000001.SS+399001.SZ->^DJI+^HSI,000001.SS;399001.SZ,^DJI;^HSI,0.008138701015536043,0.004069350507768021,0.002039935829412805,0.0037325783225028754,0.0003367721852655219,0.30363717224760395,9.408519456902652e-07,0.30363713644429513,7.511352650979575e-16
000001.SS+399001.SZ->^DJI+^IXIC,000001.SS;399001.SZ,^DJI;^IXIC,0.001735443247270041,0.0008677216236350205,0.00043400496655119914,0.0004971069041652911,0.00037061471946851234,0.9787496275314443,1.3811639500258162e-07,0.9787496276772496,2.4340338772299575e-15
000001.SS+399001.SZ->^DJI+^KS11,000001.SS;399001.SZ,^DJI;^KS11,0.005455320180043799,0.0027276600900218995,0.001365690546632584,0.0021527097746475757,0.0005749503153751156,0.6654191450556991,9.270093380676046e-07,0.6654191280197335,1.5838025335668249e-15
000001.SS+399001.SZ->^DJI+^N100,000001.SS;399001.SZ,^DJI;^N100,0.0017971486751982013,0.0008985743375991007,0.0004494651429497954,0.0006376646765801824,0.00026090966101791687,0.8242035655514799,1.2472358658523587e-07,0.82420356411804,2.0027382530152238e-15
000001.SS+399001.SZ->^DJI+^N225,000001.SS;399001.SZ,^DJI;^N225,0.02518513162315017,0.012592565811575085,0.00635326296073021,0.012349763502173969,0.00024280230940079402,0.07563851380378289,2.234725007564664e-06,0.07563840486815836,6.453171330633722e-16
000001.SS+399001.SZ->^DJI+^NZ50,000001.SS;399001.SZ,^DJI;^NZ50,0.004477439047185783,0.0022387195235928914,0.0011206336428252856,0.0017875732653718467,0.0004511462582208553,0.6436382249098356,6.041654748247839e-07,0.6436382132000558,3.7903707950093235e-16
000001.SS+399001.SZ->^DJI+^STI,000001.SS;399001.SZ,^DJI;^STI,0.0038707873982453123,0.0019353936991226561,0.0009688103222138019,0.0017086601020264555,0.0002267335970959314,0.4137070314883192,2.902767306092518e-07,0.41370702203967796,5.386316392907986e-16
000001.SS+399001.SZ->^DJI+^STOXX50E,000001.SS;399001.SZ,^DJI;^STOXX50E,0.0010264517166156395,0.0005132258583078197,0.00025669342462866177,0.0004603121809056794,5.291367740286483e-05,0.3698821255384343,1.826291960607511e-08,0.3698821255845123,1.4489277833096281e-15
000001.SS+399001.SZ->^GSPC+^HSI,000001.SS;399001.SZ,^GSPC;^HSI,0.007988614471958755,0.003994307235979377,0.00200305913534068,0.003970942256774786,2.3364979205545538e-05,0.02326140955632721,6.944667273450084e-08,0.023261405858926346,1.908195823574488e-15
000001.SS+399001.SZ->^GSPC+^IXIC,000001.SS;399001.SZ,^GSPC;^IXIC,0.00249613062148768,0.00124806531074384,0.0006245709934449427,0.001197315726037106,5.0749584705847756e-05,0.15603662421471431,4.5544012393350895e-08,0.1560366220744654,1.7720200307103084e-15
000001.SS+399001.SZ->^GSPC+^KS11,000001.SS;399001.SZ,^GSPC;^KS11,0.00478590900470266,0.00239295450235133,0.0011982084945985378,0.0021337013950921773,0.0002592531072592912,0.38641032292212535,4.143799598222992e-07,0.38641030890619515,2.7755575615628914e-16
000001.SS+399001.SZ->^GSPC+^N100,000001.SS;399001.SZ,^GSPC;^N100,0.0014404930008176109,0.0007202465004088054,0.0003603104471771292,0.0007064843114570155,1.3762188950692857e-05,0.07497003544893015,7.289451533435808e-09,0.07497003463577846,2.194208356676164e-15
000001.SS+399001.SZ->^GSPC+^N225,000001.SS;399001.SZ,^GSPC;^N225,0.02458733489884324,0.01229366744942162,0.006202672521058256,0.012227401389853771,6.626605956937095e-05,0.021444818992752034,6.039534736802799e-07,0.0214447877828203,3.0461744238152733e-15
000001.SS+399001.SZ->^GSPC+^NZ50,000001.SS;399001.SZ,^GSPC;^NZ50,0.004850631341152933,0.0024253156705764667,0.0012147865626479274,0.0023831366160233804,4.217905455277702e-05,0.06835483288230286,7.529737972261467e-08,0.06835482902230208,6.184289191857317e-16
000001.SS+399001.SZ->^GSPC+^STI,000001.SS;399001.SZ,^GSPC;^STI,0.0035868944453660845,0.0017934472226830422,0.0008979275498248959,0.0017923228000966433,1.1244225852775825e-06,0.0025062741769134454,1.510140337432353e-09,0.0025062740229404882,2.2425637735690174e-15
000001.SS+399001.SZ->^GSPC+^STOXX50E,000001.SS;399001.SZ,^GSPC;^STOXX50E,0.001047815357068771,0.0005239076785343855,0.0002620090854880883,0.0003330110639726683,0.0001908966145609148,0.9264187864197205,4.766552320889777e-08,0.9264187850993154,1.6048360557130437e-15
000001.SS+399001.SZ->^HSI+^IXIC,000001.SS;399001.SZ,^HSI;^IXIC,0.008066200044812177,0.004033100022406089,0.0020222517111991687,0.0038995478742037265,0.00013355214820323202,0.12806992060474603,3.89806576993508e-07,0.12806990200620783,1.7399276464047375e-15
