edge_id,orientation,eta,median,bandwidth,gc,gaussian_te,canonical_cs,kde_cs
^GSPC+^N225->399001.SZ+^AXJO,official-featurewise,0.05,0.32890538275663894,0.01644526913783195,0.25381302090213964,0.12690651045106982,0.06923395580486012,8.67071059857949e-05
^GSPC+^N225->399001.SZ+^AXJO,samplewise,0.05,0.020599418753970665,0.0010299709376985332,0.25381302090213964,0.12690651045106982,0.06923395580486012,0.3404251617380645
000001.SS+^STOXX50E->^AXJO+^HSI,official-featurewise,0.05,0.26420320556980814,0.013210160278490408,0.1776712674617329,0.08883563373086645,0.047012518764619905,0.00027997033841486996
000001.SS+^STOXX50E->^AXJO+^HSI,samplewise,0.05,0.018575374119701067,0.0009287687059850534,0.1776712674617329,0.08883563373086645,0.047012518764619905,0.563240017717737
