split,edge_id,source,target,gc,gaussian_te,gaussian_cmi,canonical_cs,gc_canonical_error,scalar_mapped_cs,abs_scalar_map_error
full,000001.SS->399001.SZ,000001.SS,399001.SZ,0.00684768556192239,0.003423842780961195,0.003423842780961195,0.0017163123835339737,-3.157196726277789e-16,0.0017163123835338921,8.153200337090993e-17
full,000001.SS->IMOEX.ME,000001.SS,IMOEX.ME,0.0019714866460809333,0.0009857433230404666,0.0009857433230404666,0.0004932359254880406,-1.6046192152785466e-16,0.0004932359254879474,9.313296661650483e-17
full,000001.SS->^AXJO,000001.SS,^AXJO,0.0009791352348162974,0.0004895676174081487,0.0004895676174081487,0.00024487367270546327,-3.5128150388530344e-17,0.00024487367270543985,2.3418766925686896e-17
full,000001.SS->^DJI,000001.SS,^DJI,0.0002029686271924902,0.0001014843135962451,0.0001014843135962451,5.074601881707193e-05,4.581296279837499e-16,5.074601881724787e-05,1.7593890754008523e-16
full,000001.SS->^GSPC,000001.SS,^GSPC,0.0011488781649067192,0.0005744390824533596,0.0005744390824533596,0.00028734326012791445,6.594117613056838e-16,0.0002873432601280386,1.2414114874959026e-16
full,000001.SS->^HSI,000001.SS,^HSI,0.0172741881852172,0.0086370940926086,0.0086370940926086,0.0043464411934874166,2.7755575615628914e-16,0.004346441193487423,6.071532165918825e-18
full,000001.SS->^IXIC,000001.SS,^IXIC,0.001400596464593562,0.000700298232296781,0.000700298232296781,0.0003503329798198074,1.2633123713801098e-15,0.00035033297982019044,3.830486275391287e-16
full,000001.SS->^KS11,000001.SS,^KS11,0.0043605159822011075,0.0021802579911005537,0.0021802579911005537,0.001091910271549845,1.929879867024198e-15,0.0010919102715503273,4.822531263215524e-16
full,000001.SS->^N100,000001.SS,^N100,0.0038302859503218656,0.0019151429751609328,0.0019151429751609328,0.0009589460240634587,-1.049074022096974e-15,0.0009589460240632375,2.211772431870429e-16
full,000001.SS->^N225,000001.SS,^N225,0.0033888330366842467,0.0016944165183421234,0.0016944165183421234,0.0008482842937004865,2.92300905702092e-16,0.0008482842937006152,1.2869479787402938e-16
full,000001.SS->^NZ50,000001.SS,^NZ50,0.0005855161113803575,0.00029275805569017876,0.00029275805569017876,0.00014641116493820667,8.098990228466718e-17,0.00014641116493824212,3.5453411040275995e-17
full,000001.SS->^STI,000001.SS,^STI,0.003332960381863259,0.0016664801909316296,0.0016664801909316296,0.0008342809504210942,6.81312645189891e-16,0.0008342809504212976,2.0339632755828063e-16
full,000001.SS->^STOXX50E,000001.SS,^STOXX50E,0.0023551302131803453,0.0011775651065901727,0.0011775651065901727,0.000589302346497324,5.7462715141731735e-16,0.0005893023464974892,1.6523241108679088e-16
full,399001.SZ->000001.SS,399001.SZ,000001.SS,0.001604099507392931,0.0008020497536964655,0.0008020497536964655,0.00040126604377673924,-1.5488912236127916e-15,0.0004012660437763138,4.2544093248331194e-16
full,399001.SZ->IMOEX.ME,399001.SZ,IMOEX.ME,0.0025369092847533636,0.0012684546423766818,0.0012684546423766818,0.0006348304324760203,2.5543803183758484e-16,0.0006348304324760637,4.336808689942018e-17
full,399001.SZ->^AXJO,399001.SZ,^AXJO,0.000502432629675198,0.000251216314837599,0.000251216314837599,0.00012563182155080215,-8.380882793312949e-17,0.00012563182155073902,6.31276714929685e-17
