split,edge_id,source_indices,target_indices,source,target,gc,gaussian_te,gaussian_cmi,canonical_cs,gc_canonical_error
confirmation,000001.SS+399001.SZ->^DJI+^KS11,0;1,4;8,000001.SS;399001.SZ,^DJI;^KS11,0.005455320180047352,0.002727660090023676,0.002727660090023676,0.0013656905466326512,1.867429821889033e-15
confirmation,000001.SS+399001.SZ->^DJI+^N100,0;1,4;9,000001.SS;399001.SZ,^DJI;^N100,0.0017971486751946486,0.0008985743375973243,0.0008985743375973243,0.0004494651429497715,-1.560383766641138e-15
confirmation,000001.SS+399001.SZ->^DJI+^N225,0;1,4;10,000001.SS;399001.SZ,^DJI;^N225,0.02518513162315017,0.012592565811575085,0.012592565811575085,0.006353262960730279,5.377642775528102e-16
confirmation,000001.SS+399001.SZ->^DJI+^NZ50,0;1,4;11,000001.SS;399001.SZ,^DJI;^NZ50,0.004477439047185783,0.0022387195235928914,0.0022387195235928914,0.001120633642825344,3.8337388819087437e-16
confirmation,000001.SS+399001.SZ->^DJI+^STI,0;1,4;12,000001.SS;399001.SZ,^DJI;^STI,0.0038707873982453123,0.0019353936991226561,0.0019353936991226561,0.0009688103222137831,4.891920202254596e-16
confirmation,000001.SS+399001.SZ->^DJI+^STOXX50E,0;1,4;13,000001.SS;399001.SZ,^DJI;^STOXX50E,0.0010264517166156395,0.0005132258583078197,0.0005132258583078197,0.0002566934246286982,-1.4664918585038933e-15
confirmation,000001.SS+399001.SZ->^GSPC+^HSI,0;1,5;6,000001.SS;399001.SZ,^GSPC;^HSI,0.007988614471958755,0.003994307235979377,0.003994307235979377,0.0020030591353407054,-1.9220736113823023e-15
confirmation,000001.SS+399001.SZ->^GSPC+^IXIC,0;1,5;7,000001.SS;399001.SZ,^GSPC;^IXIC,0.002496130621473469,0.0012480653107367345,0.0012480653107367345,0.000624570993444944,-1.247960068617715e-14
confirmation,000001.SS+399001.SZ->^GSPC+^KS11,0;1,5;8,000001.SS;399001.SZ,^GSPC;^KS11,0.004785909004699107,0.0023929545023495535,0.0023929545023495535,0.0011982084945985684,-3.8614944575243726e-15
confirmation,000001.SS+399001.SZ->^GSPC+^N100,0;1,5;9,000001.SS;399001.SZ,^GSPC;^N100,0.0014404930008140582,0.0007202465004070291,0.0007202465004070291,0.0003603104471771461,-1.3619747690762907e-15
confirmation,000001.SS+399001.SZ->^GSPC+^N225,0;1,5;10,000001.SS;399001.SZ,^GSPC;^N225,0.02458733489884679,0.012293667449423396,0.012293667449423396,0.006202672521058275,4.371503159461554e-16
confirmation,000001.SS+399001.SZ->^GSPC+^NZ50,0;1,5;11,000001.SS;399001.SZ,^GSPC;^NZ50,0.004850631341152933,0.0024253156705764667,0.0024253156705764667,0.0012147865626479157,6.2363308961366215e-16
confirmation,000001.SS+399001.SZ->^GSPC+^STI,0;1,5;12,000001.SS;399001.SZ,^GSPC;^STI,0.0035868944453660845,0.0017934472226830422,0.0017934472226830422,0.0008979275498248992,2.2100377083944522e-15
confirmation,000001.SS+399001.SZ->^GSPC+^STOXX50E,0;1,5;13,000001.SS;399001.SZ,^GSPC;^STOXX50E,0.0010478153570652182,0.0005239076785326091,0.0005239076785326091,0.0002620090854881129,-1.95590071916385e-15
confirmation,000001.SS+399001.SZ->^HSI+^IXIC,0;1,6;7,000001.SS;399001.SZ,^HSI;^IXIC,0.00806620004481573,0.004033100022407865,0.004033100022407865,0.002022251711199122,1.807581861967833e-15
confirmation,000001.SS+399001.SZ->^HSI+^KS11,0;1,6;8,000001.SS;399001.SZ,^HSI;^KS11,0.009732407556761302,0.004866203778380651,0.004866203778380651,0.002440531397719888,3.1415842149939976e-15
confirmation,000001.SS+399001.SZ->^HSI+^N100,0;1,6;9,000001.SS;399001.SZ,^HSI;^N100,0.007100337021494596,0.003550168510747298,0.003550168510747298,0.001779452848021633,5.452235884995105e-15
confirmation,000001.SS+399001.SZ->^HSI+^N225,0;1,6;10,000001.SS;399001.SZ,^HSI;^N225,0.012431058378449933,0.0062155291892249664,0.0062155291892249664,0.0031195027015281083,2.2811613709095013e-15
confirmation,000001.SS+399001.SZ->^HSI+^NZ50,0;1,6;11,000001.SS;399001.SZ,^HSI;^NZ50,0.007061583554161643,0.0035307917770808217,0.0035307917770808217,0.001770045206079192,5.533767888366015e-16
confirmation,000001.SS+399001.SZ->^HSI+^STI,0;1,6;12,000001.SS;399001.SZ,^HSI;^STI,0.005049912156568581,0.0025249560782842906,0.0025249560782842906,0.0012641422915351391,3.801646497603173e-15
confirmation,000001.SS+399001.SZ->^HSI+^STOXX50E,0;1,6;13,000001.SS;399001.SZ,^HSI;^STOXX50E,0.008530325513000037,0.004265162756500018,0.004265162756500018,0.0021389382501304168,1.1015494072452725e-15
confirmation,000001.SS+399001.SZ->^IXIC+^KS11,0;1,7;8,000001.SS;399001.SZ,^IXIC;^KS11,0.005794207263427609,0.0028971036317138044,0.0028971036317138044,0.0014507755818046076,3.088675148976705e-15
confirmation,000001.SS+399001.SZ->^IXIC+^N100,0;1,7;9,000001.SS;399001.SZ,^IXIC;^N100,0.00231301182928334,0.00115650591464167,0.00115650591464167,0.0005787445044829497,1.6224001309073088e-15
confirmation,000001.SS+399001.SZ->^IXIC+^N225,0;1,7;10,000001.SS;399001.SZ,^IXIC;^N225,0.02590608571360775,0.012953042856803876,0.012953042856803876,0.0065364370840871105,-3.5284275501368256e-15
confirmation,000001.SS+399001.SZ->^IXIC+^NZ50,0;1,7;11,000001.SS;399001.SZ,^IXIC;^NZ50,0.006883328129788424,0.003441664064894212,0.003441664064894212,0.001724766790197489,1.6193643648243494e-15
confirmation,000001.SS+399001.SZ->^IXIC+^STI,0;1,7;12,000001.SS;399001.SZ,^IXIC;^STI,0.004165885487356746,0.002082942743678373,0.002082942743678373,0.0010430014073734449,-4.466912950640278e-16
confirmation,000001.SS+399001.SZ->^IXIC+^STOXX50E,0;1,7;13,000001.SS;399001.SZ,^IXIC;^STOXX50E,0.001521877620515255,0.0007609388102576276,0.0007609388102576276,0.00038062314610239837,4.591813040910608e-15
confirmation,000001.SS+399001.SZ->^KS11+^N100,0;1,8;9,000001.SS;399001.SZ,^KS11;^N100,0.010070937831702764,0.005035468915851382,0.005035468915851382,0.0025258240344362493,6.210310043996969e-16
confirmation,000001.SS+399001.SZ->^KS11+^N225,0;1,8;10,000001.SS;399001.SZ,^KS11;^N225,0.008474232490719658,0.004237116245359829,0.004237116245359829,0.0021252179761973686,1.2038980923279041e-15
confirmation,000001.SS+399001.SZ->^KS11+^NZ50,0;1,8;11,000001.SS;399001.SZ,^KS11;^NZ50,0.004307835770855917,0.0021539178854279584,0.0021539178854279584,0.0010782232139964218,-1.1535911115245767e-15
confirmation,000001.SS+399001.SZ->^KS11+^STI,0;1,8;12,000001.SS;399001.SZ,^KS11;^STI,0.007194219278922276,0.003597109639461138,0.003597109639461138,0.0018021041937864948,7.99187105382515e-15
confirmation,000001.SS+399001.SZ->^KS11+^STOXX50E,0;1,8;13,000001.SS;399001.SZ,^KS11;^STOXX50E,0.011021477058903884,0.005510738529451942,0.005510738529451942,0.002766159492302756,1.77115266897232e-15
confirmation,000001.SS+399001.SZ->^N100+^N225,0;1,9;10,000001.SS;399001.SZ,^N100;^N225,0.03242791208778684,0.01621395604389342,0.01621395604389342,0.008200186451977827,-2.671474153004283e-15
confirmation,000001.SS+399001.SZ->^N100+^NZ50,0;1,9;11,000001.SS;399001.SZ,^N100;^NZ50,0.013889798611089077,0.0069448993055445385,0.0069448993055445385,0.0034898800529924888,1.5959455978986625e-15
confirmation,000001.SS+399001.SZ->^N100+^STI,0;1,9;12,000001.SS;399001.SZ,^N100;^STI,0.0063086759000619,0.00315433795003095,0.00315433795003095,0.00158084207827038,1.317522480004385e-15
confirmation,000001.SS+399001.SZ->^N100+^STOXX50E,0;1,9;13,000001.SS;399001.SZ,^N100;^STOXX50E,0.012546407627731071,0.0062732038138655355,0.0062732038138655355,0.003150640170722646,-6.7465130704214e-14
confirmation,000001.SS+399001.SZ->^N225+^NZ50,0;1,10;11,000001.SS;399001.SZ,^N225;^NZ50,0.007965012280841677,0.003982506140420838,0.003982506140420838,0.0019967484425898064,5.93275428784068e-15
