,000001.SS,399001.SZ,IMOEX.ME,^AXJO,^DJI,^GSPC,^HSI,^IXIC,^KS11,^N100,^N225,^NZ50,^STI,^STOXX50E
0,-0.0025963439225122897,-0.013681570297549683,0.01121919758168577,-0.016471136982582735,0.0005666793069654119,0.002010204139359928,-0.006510464187289955,-0.0023808565306335794,0.006115442636786206,0.00622917899137132,-0.004180889162947565,0.0,-0.0006137315452630077,0.004177991392749547
1,0.022296910334155484,0.022147321729633518,-0.0031747299747069135,-0.011894354089413639,-0.014804270545436538,-0.013202163002625333,-0.009860761301171195,-0.01144647494840001,-0.0026452444786748686,-0.01272478403179722,-0.009992047428909245,-0.0024847393502493986,-0.010627025944614843,-0.012248980082338434
2,-0.07305356108957817,-0.08585246815019865,0.0,-0.022263989079764457,-0.023484203202446707,-0.02398581651934517,-0.03134634079706622,-0.030727177886918255,-0.011019129711511866,-0.016524412783035736,-0.023582642742359994,-0.007876000414100304,-0.026874653089278944,-0.01755833563163023
3,0.019460645021000644,0.01188420317508232,0.0,-0.003899576141124683,-0.010203777456778695,-0.01089753744584776,0.005902434273076906,-0.009814714646047662,0.006954613638834317,-0.017307725587753175,-0.003912500005585073,-0.008938358456026307,0.007779467884978075,-0.016740732974650285
4,-0.05473067488470562,-0.06413629243474439,-0.03849370070185465,-0.011811002840440565,0.0031833946288415405,0.0008529082958226297,-0.028022654721906903,-0.00121522946648156,-0.011950447027386346,-0.0014834292550602868,0.0,-0.00901569344465436,-0.015523850674886042,-0.001973278968252501
5,0.0020388833850208954,0.007923530433753712,0.004601477245099517,-0.0014405767650575996,0.007148815960455579,0.007772514117774243,-0.008926275178541943,0.010281117874848533,-0.002102639927308303,0.011037386818614436,-0.027438274940548624,0.001558719776827644,-0.006321530933942832,0.012202714544391924
6,-0.024535236683770556,-0.031067160204065303,-0.0032710479901982836,0.012570113494344781,-0.02233560889017916,-0.02528237507790898,0.0112556042985279,-0.03471043432965715,0.01335407766058605,0.0028043725824611343,0.028436192544766925,0.006444789090298997,0.001751940093948967,0.0027241930778973966
7,0.019490160746753027,0.03603259747629828,-0.0023829755047710677,-0.01576299745397236,0.013995705227170419,0.0165580609343845,-0.00591015219803559,0.019460051146634072,-0.008526667490833972,-0.017938493991531246,-0.027160026464560616,-0.006945549810376761,-0.019446128740474578,-0.016080339463680815
8,-0.036113532047298946,-0.0341203907946106,-0.04403701617769595,-0.0033870180208399603,-0.024159617784645704,-0.021835772698162614,-0.015081849247325252,-0.027811138631227195,-0.011188624754226772,-0.021234341977903526,-0.005457712968885531,0.009740743988221112,-0.005235725513640155,-0.023934969786457927
9,0.004425586133866233,0.01568354269112504,0.008710041284686554,-0.0069937442170324715,0.0,0.0,-0.014620143454962431,0.0,-0.00022358699981239738,-0.00591452926329783,-0.011233197998503641,-0.011026514576924384,-0.014457274984502888,-0.005805201627847367
