sample_size,planned_replicates,completed_replicates,failures,equal_gc_cs_separation_successes,equal_gc_cs_separation_rate,equal_gc_cs_separation_ci_low,equal_gc_cs_separation_ci_high,gc_order_successes,gc_order_rate,gc_order_ci_low,gc_order_ci_high,cs_order_successes,cs_order_rate,cs_order_ci_low,cs_order_ci_high,joint_reversal_successes,joint_reversal_rate,joint_reversal_ci_low,joint_reversal_ci_high
64,1000,1000,0,739,0.739,0.7109019937060769,0.7652688157378277,679,0.679,0.6494265062245327,0.7072035142376386,547,0.547,0.5160261711771321,0.5776141135252257,226,0.226,0.2011546846733466,0.25294237897673766
128,1000,1000,0,821,0.821,0.7960253362714628,0.8435178847808108,761,0.761,0.7336003718062974,0.7864020602642429,577,0.577,0.546142492951032,0.6072681862421924,338,0.338,0.3093514451469222,0.36788842460239773
256,1000,1000,0,913,0.913,0.8939135189433066,0.928925578547625,850,0.85,0.8265313415731996,0.8707899274869118,620,0.62,0.5895108843206113,0.6495706936428555,470,0.47,0.43923991460215,0.5009896909069833
512,1000,1000,0,974,0.974,0.9621761711573101,0.9821960617983837,947,0.947,0.9313253831625082,0.9592534947514054,645,0.645,0.6148387032147422,0.6740515368244469,592,0.592,0.5612435983142355,0.6220522781244223
1024,1000,1000,0,1000,1.0,0.996173241514445,1.0,994,0.994,0.9869718317581478,0.9972473308581237,725,0.725,0.6965038327040266,0.7517741259774736,719,0.719,0.6903436580897934,0.7459802216935335
2048,1000,1000,0,1000,1.0,0.996173241514445,1.0,998,0.998,0.9927371921365079,0.9994513564118793,783,0.783,0.7563948567746954,0.8074391979224804,781,0.781,0.7543184071059555,0.8055309546251624
4096,1000,1000,0,1000,1.0,0.996173241514445,1.0,1000,1.0,0.996173241514445,1.0,875,0.875,0.8530561617710384,0.8940737693647953,875,0.875,0.8530561617710384,0.8940737693647953
