experiment_kind,model,dimension,component_te_spec,sample_size,seed,source_scale,eta,bandwidth_orientation,median,sigma,kde_cs,theory_te,theory_gc,theory_cs,theory_rho2,sample_gc,sample_te,sample_canonical_cs,sample_rho2,gc_vs_canonical_error
main,scalar_te_0.05,1,0.05,256,11,1.0,0.02,official-featurewise,15.93978222812208,0.31879564456244164,0.05024324790105972,0.05,0.1,0.02592178699925464,[0.09516258196404048],0.07666088276587918,0.03833044138293959,0.01970910855832846,0.0737961079423,6.38378239159465e-16
main,scalar_te_0.05,1,0.05,256,11,1.0,0.02,samplewise,1.5512900644702334,0.03102580128940467,0.22159114431647353,0.05,0.1,0.02592178699925464,[0.09516258196404048],0.07666088276587918,0.03833044138293959,0.01970910855832846,0.0737961079423,6.38378239159465e-16
main,scalar_te_0.05,1,0.05,256,11,1.0,0.05,official-featurewise,15.93978222812208,0.7969891114061041,0.005570421023975314,0.05,0.1,0.02592178699925464,[0.09516258196404048],0.07666088276587918,0.03833044138293959,0.01970910855832846,0.0737961079423,6.38378239159465e-16
main,scalar_te_0.05,1,0.05,256,11,1.0,0.05,samplewise,1.5512900644702334,0.07756450322351167,0.22031014469113508,0.05,0.1,0.02592178699925464,[0.09516258196404048],0.07666088276587918,0.03833044138293959,0.01970910855832846,0.0737961079423,6.38378239159465e-16
main,scalar_te_0.05,1,0.05,256,11,1.0,0.2,official-featurewise,15.93978222812208,3.1879564456244163,4.229890485873966e-06,0.05,0.1,0.02592178699925464,[0.09516258196404048],0.07666088276587918,0.03833044138293959,0.01970910855832846,0.0737961079423,6.38378239159465e-16
main,scalar_te_0.05,1,0.05,256,11,1.0,0.2,samplewise,1.5512900644702334,0.3102580128940467,0.05338145036102304,0.05,0.1,0.02592178699925464,[0.09516258196404048],0.07666088276587918,0.03833044138293959,0.01970910855832846,0.0737961079423,6.38378239159465e-16
main,scalar_te_0.05,1,0.05,256,29,1.0,0.02,official-featurewise,17.072971252598123,0.3414594250519625,0.05416609798782446,0.05,0.1,0.02592178699925464,[0.09516258196404048],0.13948636346926685,0.06974318173463342,0.036652908877562944,0.130195115755,1.3877787807814457e-16
main,scalar_te_0.05,1,0.05,256,29,1.0,0.02,samplewise,1.5608091755993634,0.03121618351198727,0.1570633771743717,0.05,0.1,0.02592178699925464,[0.09516258196404048],0.13948636346926685,0.06974318173463342,0.036652908877562944,0.130195115755,1.3877787807814457e-16
main,scalar_te_0.05,1,0.05,256,29,1.0,0.05,official-featurewise,17.072971252598123,0.8536485626299062,0.008383002958620267,0.05,0.1,0.02592178699925464,[0.09516258196404048],0.13948636346926685,0.06974318173463342,0.036652908877562944,0.130195115755,1.3877787807814457e-16
main,scalar_te_0.05,1,0.05,256,29,1.0,0.05,samplewise,1.5608091755993634,0.07804045877996818,0.21235916928167597,0.05,0.1,0.02592178699925464,[0.09516258196404048],0.13948636346926685,0.06974318173463342,0.036652908877562944,0.130195115755,1.3877787807814457e-16
main,scalar_te_0.05,1,0.05,256,29,1.0,0.2,official-featurewise,17.072971252598123,3.4145942505196247,5.849001610158666e-06,0.05,0.1,0.02592178699925464,[0.09516258196404048],0.13948636346926685,0.06974318173463342,0.036652908877562944,0.130195115755,1.3877787807814457e-16
main,scalar_te_0.05,1,0.05,256,29,1.0,0.2,samplewise,1.5608091755993634,0.3121618351198727,0.06386391758702459,0.05,0.1,0.02592178699925464,[0.09516258196404048],0.13948636346926685,0.06974318173463342,0.036652908877562944,0.130195115755,1.3877787807814457e-16
