experiment_kind,model,dimension,component_te_spec,sample_size,source_scale,eta,bandwidth_orientation,replicates,sample_gc_mean,sample_gc_sd,sample_te_mean,sample_te_sd,sample_canonical_cs_mean,sample_canonical_cs_sd,kde_cs_mean,kde_cs_sd,theory_gc,theory_te,theory_cs,max_abs_gc_canonical_error
block-rescaling,scalar_scale_test,1,0.75,512,0.1,0.05,official-featurewise,1,1.3478819839516978,0.0,0.6739409919758489,0.0,0.4693093816930131,0.0,1.58273603645398e-06,0.0,1.5,0.75,0.5340586256787394,2.220446049250313e-15
block-rescaling,scalar_scale_test,1,0.75,512,0.1,0.05,samplewise,1,1.3478819839516978,0.0,0.6739409919758489,0.0,0.4693093816930131,0.0,0.03461846447233441,0.0,1.5,0.75,0.5340586256787394,2.220446049250313e-15
block-rescaling,scalar_scale_test,1,0.75,512,1.0,0.05,official-featurewise,1,1.3478819839516982,0.0,0.6739409919758491,0.0,0.46930938169301273,0.0,0.004125287997336358,0.0,1.5,0.75,0.5340586256787394,8.881784197001252e-16
block-rescaling,scalar_scale_test,1,0.75,512,1.0,0.05,samplewise,1,1.3478819839516982,0.0,0.6739409919758491,0.0,0.46930938169301273,0.0,0.25477222389069354,0.0,1.5,0.75,0.5340586256787394,8.881784197001252e-16
block-rescaling,scalar_scale_test,1,0.75,512,10.0,0.05,official-featurewise,1,1.347881983951698,0.0,0.673940991975849,0.0,0.46930938169301273,0.0,0.0009999565792107035,0.0,1.5,0.75,0.5340586256787394,1.1102230246251565e-15
block-rescaling,scalar_scale_test,1,0.75,512,10.0,0.05,samplewise,1,1.347881983951698,0.0,0.673940991975849,0.0,0.46930938169301273,0.0,0.2529827339219395,0.0,1.5,0.75,0.5340586256787394,1.1102230246251565e-15
main,concentrated,2,1.0;0.0,1024,1.0,0.02,official-featurewise,5,2.0158647317272065,0.07919327252985398,1.0079323658636032,0.03959663626492699,0.7635127305214586,0.03590752781873185,0.01608256002282573,0.0009932892419801994,2.0,1.0,0.7564417556472544,2.3092638912203256e-14
main,concentrated,2,1.0;0.0,1024,1.0,0.02,samplewise,5,2.0158647317272065,0.07919327252985398,1.0079323658636032,0.03959663626492699,0.7635127305214586,0.03590752781873185,0.18354077242899702,0.017347712161203826,2.0,1.0,0.7564417556472544,2.3092638912203256e-14
main,concentrated,2,1.0;0.0,1024,1.0,0.05,official-featurewise,5,2.0158647317272065,0.07919327252985398,1.0079323658636032,0.03959663626492699,0.7635127305214586,0.03590752781873185,0.0006583475277075479,4.16435364729543e-05,2.0,1.0,0.7564417556472544,2.3092638912203256e-14
main,concentrated,2,1.0;0.0,1024,1.0,0.05,samplewise,5,2.0158647317272065,0.07919327252985398,1.0079323658636032,0.03959663626492699,0.7635127305214586,0.03590752781873185,0.20141550314703788,0.013005816473201088,2.0,1.0,0.7564417556472544,2.3092638912203256e-14
main,concentrated,2,1.0;0.0,1024,1.0,0.2,official-featurewise,5,2.0158647317272065,0.07919327252985398,1.0079323658636032,0.03959663626492699,0.7635127305214586,0.03590752781873185,8.802062367863073e-08,1.049992545640611e-08,2.0,1.0,0.7564417556472544,2.3092638912203256e-14
main,concentrated,2,1.0;0.0,1024,1.0,0.2,samplewise,5,2.0158647317272065,0.07919327252985398,1.0079323658636032,0.03959663626492699,0.7635127305214586,0.03590752781873185,0.06366361191728132,0.0014423059264580466,2.0,1.0,0.7564417556472544,2.3092638912203256e-14
